location_id,latitude,longitude,date,month,season,hour,outdoor_temperature_C,wind_speed_mps,thermal_mass_MJ_m3K,insulation_r_value_m2K_W,glazing,GHI_W_m2,best_shelter_material,indoor_temperature_C
LAD-001,33.436,77.181,2025-01-01,1,Winter,0,-28.690,3.590,1.859,3.750,0.453,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,13.430
LAD-001,33.436,77.181,2025-01-01,1,Winter,1,-29.140,3.140,2.360,4.254,0.581,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,14.850
LAD-001,33.436,77.181,2025-01-01,1,Winter,2,-29.210,2.910,2.365,4.093,0.370,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,14.650
LAD-001,33.436,77.181,2025-01-01,1,Winter,3,-28.420,2.670,1.907,4.518,0.393,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,14.520
LAD-001,33.436,77.181,2025-01-01,1,Winter,4,-27.410,2.310,2.603,4.673,0.324,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.000
LAD-001,33.436,77.181,2025-01-01,1,Winter,5,-27.620,2.300,2.042,5.264,0.365,11.400,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,15.820
LAD-001,33.436,77.181,2025-01-01,1,Winter,6,-26.810,2.740,2.329,5.863,0.408,9.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,17.090
LAD-001,33.436,77.181,2025-01-01,1,Winter,7,-25.910,2.530,2.495,4.880,0.606,148.800,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,17.260
LAD-001,33.436,77.181,2025-01-01,1,Winter,8,-24.240,2.290,2.584,4.553,0.265,278.100,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,17.150
LAD-001,33.436,77.181,2025-01-01,1,Winter,9,-22.580,2.200,2.660,4.828,0.468,412.400,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,19.840
LAD-001,33.436,77.181,2025-01-01,1,Winter,10,-21.580,4.720,2.569,3.697,0.558,451.900,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,19.310
LAD-001,33.436,77.181,2025-01-01,1,Winter,11,-19.910,2.420,2.651,4.938,0.478,640.200,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,22.010
LAD-001,33.436,77.181,2025-01-01,1,Winter,12,-18.200,2.060,2.436,4.249,0.477,548.800,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,20.470
LAD-001,33.436,77.181,2025-01-01,1,Winter,13,-18.950,3.180,2.359,4.192,0.462,534.400,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,19.950
LAD-001,33.436,77.181,2025-01-01,1,Winter,14,-18.390,5.960,2.007,3.832,0.265,469.800,Rammed earth thermal mass with adjustable cross-ventilation flaps and external fabric solar shading,16.150
LAD-001,33.436,77.181,2025-01-01,1,Winter,15,-17.930,3.530,2.006,6.770,0.299,418.400,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,19.950
LAD-001,33.436,77.181,2025-01-01,1,Winter,16,-18.920,3.850,2.003,4.398,0.465,354.200,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,18.320
LAD-001,33.436,77.181,2025-01-01,1,Winter,17,-20.090,6.560,2.476,3.328,0.306,141.500,Rammed earth thermal mass with adjustable cross-ventilation flaps and external fabric solar shading,15.280
LAD-001,33.436,77.181,2025-01-01,1,Winter,18,-21.270,4.550,2.448,6.295,0.224,10.800,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,18.200
LAD-001,33.436,77.181,2025-01-01,1,Winter,19,-22.330,4.270,2.731,5.362,0.586,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,17.460
LAD-001,33.436,77.181,2025-01-01,1,Winter,20,-23.040,4.510,2.627,6.415,0.488,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,18.440
LAD-001,33.436,77.181,2025-01-01,1,Winter,21,-25.370,4.590,2.586,3.049,0.485,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,14.210
LAD-001,33.436,77.181,2025-01-01,1,Winter,22,-26.510,4.640,2.401,5.033,0.482,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.120
LAD-001,33.436,77.181,2025-01-01,1,Winter,23,-27.020,4.210,2.731,5.612,0.533,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,17.340
LAD-002,35.337,76.998,2025-01-02,1,Winter,0,-29.150,2.710,2.540,5.141,0.306,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.280
LAD-002,35.337,76.998,2025-01-02,1,Winter,1,-28.660,2.610,2.166,5.247,0.421,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,15.830
LAD-002,35.337,76.998,2025-01-02,1,Winter,2,-27.940,3.610,2.220,6.188,0.422,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,17.130
LAD-002,35.337,76.998,2025-01-02,1,Winter,3,-28.200,2.420,2.662,4.393,0.379,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,15.660
LAD-002,35.337,76.998,2025-01-02,1,Winter,4,-28.260,3.370,2.371,5.144,0.622,0.000,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,16.070
LAD-002,35.337,76.998,2025-01-02,1,Winter,5,-28.680,2.050,2.341,6.548,0.554,9.400,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,17.830
LAD-002,35.337,76.998,2025-01-02,1,Winter,6,-24.360,2.620,2.469,5.384,0.425,10.700,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,17.000
LAD-002,35.337,76.998,2025-01-02,1,Winter,7,-24.310,1.940,1.966,3.521,0.554,148.800,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,14.970
LAD-002,35.337,76.998,2025-01-02,1,Winter,8,-23.860,2.540,2.673,5.127,0.518,332.900,Super-insulated Rammed Earth (straw/clay cavity) + unvented Trombe wall & insulated thermal shutter,19.030
LAD-002,35.337,76.998,2025-01-02,1,Winter,9,-22.250,2.650,2.143,3.698,0.423,377.200,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,17.330
LAD-002,35.337,76.998,2025-01-02,1,Winter,10,-21.250,2.350,2.413,3.676,0.545,556.700,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,20.020
LAD-002,35.337,76.998,2025-01-02,1,Winter,11,-20.700,2.450,2.304,3.914,0.579,562.400,Stabilized Rammed Earth + Straw-Clay cavity insulation; south Trombe wall with double low-E glazing,20.510
